Titel;Album;Interpret;Jahr;;Titel;Album;Interpret;Jahr;;;;;
Bessie Smith;The Basement Tapes;Bob Dylan;1975;;Bessie Smith;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Better Days;Brother Where You Bound;Supertramp;1985;;Better Days;Brother Where You Bound;Supertramp;1985;;1;1;1;1
Beyond The Horizon;Modern Times;Bob Dylan;2006;;Beyond The Horizon;Modern Times;Bob Dylan;2006;;1;1;1;1
Big Yellow Taxi;Dylan;Bob Dylan;1973;;Big Yellow Taxi;Dylan;Bob Dylan;1973;;1;1;1;1
Billy 1;Pat Garrett And Billy The Kid;Bob Dylan;1973;;Billy 1;Pat Garrett And Billy The Kid;Bob Dylan;1973;;1;1;1;1
Billy 4;Pat Garrett And Billy The Kid;Bob Dylan;1973;;Billy 4;Pat Garrett And Billy The Kid;Bob Dylan;1973;;1;1;1;1
Billy 7;Pat Garrett And Billy The Kid;Bob Dylan;1973;;Billy 7;Pat Garrett And Billy The Kid;Bob Dylan;1973;;1;1;1;1
Black Crow Blues;Another Side Of Bob Dylan;Bob Dylan;1964;;Black Crow Blues;Another Side Of Bob Dylan;Bob Dylan;1964;;1;1;1;1
Black Diamond Bay;Desire;Bob Dylan;1975;;Black Diamond Bay;Desire;Bob Dylan;1975;;1;1;1;1
Blackjack Davey;Good As I Been To You;Bob Dylan;1992;;Blackjack Davey;Good As I Been To You;Bob Dylan;1992;;1;1;1;1
Blood In My Eyes;World Gone Wrong;Bob Dylan;1993;;Blood In My Eyes;World Gone Wrong;Bob Dylan;1993;;1;1;1;1
Bloody Well Right;Crime Of The Century;Supertramp;1974;;Bloody Well Right;Crime Of The Century;Supertramp;1974;;1;1;1;1
Bloody Well Right (live);It Was The Best Of Times;Supertramp;1999;;Bloody Well Right;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;#NV;1;#NV
Bloody Well Right (live);Paris;Supertramp;1980;;Bloody Well Right;The Very Best Of Supertramp;Supertramp;1990;;1;#NV;1;#NV
Bloody Well Right;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Bloody Well Right (live);It Was The Best Of Times;Supertramp;1999;;#NV;1;1;1
Bloody Well Right;The Very Best Of Supertramp;Supertramp;1990;;Bloody Well Right (live);Paris;Supertramp;1980;;#NV;1;1;1
Blowin' In The Wind;Before The Flood;Bob Dylan;1974;;Blowin' In The Wind;Before The Flood;Bob Dylan;1974;;1;1;1;1
Blowin' In The Wind;The Best Of Bob Dylan;Bob Dylan;1997;;Blowin' In The Wind;The Best Of Bob Dylan;Bob Dylan;1997;;1;1;1;1
Blowin' In The Wind (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;Blowin' In The Wind (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;1;1;1;1
Blue Moon;Self Portrait;Bob Dylan;1970;;Blue Moon;Self Portrait;Bob Dylan;1970;;1;1;1;1
Bob Dylan's 115th Dream;Bringing It All Back Home;Bob Dylan;1965;;Bob Dylan's 115th Dream;Bringing It All Back Home;Bob Dylan;1965;;1;1;1;1
Bonnie;Famous Last Words;Supertramp;1982;;Bonnie;Famous Last Words;Supertramp;1982;;1;1;1;1
Born In Time;Under The Red Sky;Bob Dylan;1990;;Born In Time;Under The Red Sky;Bob Dylan;1990;;1;1;1;1
Breakfast In America;Breakfast In America;Supertramp;1979;;Breakfast In America;Breakfast In America;Supertramp;1979;;1;1;1;1
Breakfast In America (live);It Was The Best Of Times;Supertramp;1999;;Breakfast In America;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;#NV;1;#NV
Breakfast In America (live);Paris;Supertramp;1980;;Breakfast In America;The Very Best Of Supertramp;Supertramp;1990;;1;#NV;1;#NV
Breakfast In America;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Breakfast In America (live);It Was The Best Of Times;Supertramp;1999;;#NV;1;1;1
Breakfast In America;The Very Best Of Supertramp;Supertramp;1990;;Breakfast In America (live);Paris;Supertramp;1980;;#NV;1;1;1
Broke Down Engine;World Gone Wrong;Bob Dylan;1993;;Broke Down Engine;World Gone Wrong;Bob Dylan;1993;;1;1;1;1
Broken Hearted;Slow Motion;Supertramp;2002;;Broken Hearted;Slow Motion;Supertramp;2002;;1;1;1;1
