Titel;Album;Interpret;Jahr;;Titel;Album;Interpret;Jahr;;;;;
Gone Hollywood;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Gone Hollywood;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;1
Gone Hollywood;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;Gone Hollywood;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;1;1;1
Gonna Change My Way Of Thinking;Slow Train Coming;Bob Dylan;1979;;Gonna Change My Way Of Thinking;Slow Train Coming;Bob Dylan;1979;;1;1;1;1
Goodbye Stranger;Breakfast In America;Supertramp;1979;;Goodbye Stranger;Breakfast In America;Supertramp;1979;;1;1;1;1
Goodbye Stranger (live);It Was The Best Of Times;Supertramp;1999;;Goodbye Stranger;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;#NV;1;#NV
Goodbye Stranger;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Goodbye Stranger;The Very Best Of Supertramp;Supertramp;1990;;1;#NV;1;1
Goodbye Stranger;The Very Best Of Supertramp;Supertramp;1990;;Goodbye Stranger (live);It Was The Best Of Times;Supertramp;1999;;#NV;1;1;#NV
Gospel Plow;Bob Dylan;Bob Dylan;1962;;Gospel Plow;Bob Dylan;Bob Dylan;1962;;1;1;1;1
Got My Mind Made Up;Knocked Out Loaded;Bob Dylan;1986;;Got My Mind Made Up;Knocked Out Loaded;Bob Dylan;1986;;1;1;1;1
Gotta Serve Somebody;Slow Train Coming;Bob Dylan;1979;;Gotta Serve Somebody;Slow Train Coming;Bob Dylan;1979;;1;1;1;1
Gotta Serve Somebody;The Best Of Bob Dylan;Bob Dylan;1997;;Gotta Serve Somebody;The Best Of Bob Dylan;Bob Dylan;1997;;1;1;1;1
Gotta Travel On;Self Portrait;Bob Dylan;1970;;Gotta Travel On;Self Portrait;Bob Dylan;1970;;1;1;1;1
Had A Dream About You Baby;Down In The Groove;Bob Dylan;1988;;Had A Dream About You Baby;Down In The Groove;Bob Dylan;1988;;1;1;1;1
Handy Dandy;Under The Red Sky;Bob Dylan;1990;;Handy Dandy;Under The Red Sky;Bob Dylan;1990;;1;1;1;1
Hard Times;Good As I Been To You;Bob Dylan;1992;;Hard Times;Good As I Been To You;Bob Dylan;1992;;1;1;1;1
Hazel;Planet Waves;Bob Dylan;1974;;Hazel;Planet Waves;Bob Dylan;1974;;1;1;1;1
Heart Of Mine;Shot Of Love;Bob Dylan;1981;;Heart Of Mine;Shot Of Love;Bob Dylan;1981;;1;1;1;1
Help Me Down That Road;Some Things Never Change;Supertramp;1997;;Help Me Down That Road;Some Things Never Change;Supertramp;1997;;1;1;1;1
Hide In Your Shell;Breakfast In America;Supertramp;1979;;Hide In Your Shell;Breakfast In America;Supertramp;1979;;1;1;1;1
Hide In Your Shell;Crime Of The Century;Supertramp;1974;;Hide In Your Shell;Crime Of The Century;Supertramp;1974;;1;1;1;1
Hide In Your Shell (live);Paris;Supertramp;1980;;Hide In Your Shell;The Very Best Of Supertramp;Supertramp;1990;;1;#NV;1;#NV
Hide In Your Shell;The Very Best Of Supertramp;Supertramp;1990;;Hide In Your Shell (live);Paris;Supertramp;1980;;#NV;1;1;1
High Water;Love And Theft;Bob Dylan;2001;;High Water;Love And Theft;Bob Dylan;2001;;1;1;1;1
Highlands (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;Highlands;Time Out Of Mind;Bob Dylan;1997;;1;#NV;1;1
Highlands;Time Out Of Mind;Bob Dylan;1997;;Highlands (live);The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;#NV;1;1;#NV
Highway 51 Blues;Bob Dylan;Bob Dylan;1962;;Highway 51 Blues;Bob Dylan;Bob Dylan;1962;;1;1;1;1
Highway 61 Revisited (live);Before The Flood;Bob Dylan;1974;;Highway 61 Revisited;Highway 61 Revisited;Bob Dylan;1965;;1;#NV;1;1
Highway 61 Revisited;Highway 61 Revisited;Bob Dylan;1965;;Highway 61 Revisited;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;1;#NV;1;#NV
Highway 61 Revisited;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;Highway 61 Revisited (live);Before The Flood;Bob Dylan;1974;;#NV;1;1;1
Home Again;Supertramp;Supertramp;1970;;Home Again;Supertramp;Supertramp;1970;;1;1;1;1
Honest With Me;Love And Theft;Bob Dylan;2001;;Honest With Me;Love And Theft;Bob Dylan;2001;;1;1;1;1
House Of The Risin' Sun;Bob Dylan;Bob Dylan;1962;;House Of The Risin' Sun;Bob Dylan;Bob Dylan;1962;;1;1;1;1
Hurricane;Desire;Bob Dylan;1975;;Hurricane;Desire;Bob Dylan;1975;;1;1;1;1
Hurricane;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;Hurricane;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;1;1;1;1
I Am A Lonesome Hobo;John Wesley Harding;Bob Dylan;1967;;I Am A Lonesome Hobo;John Wesley Harding;Bob Dylan;1967;;1;1;1;1
I And I;Infidels;Bob Dylan;1983;;I And I;Infidels;Bob Dylan;1983;;1;1;1;1
I Believe In You;Slow Train Coming;Bob Dylan;1979;;I Believe In You;Slow Train Coming;Bob Dylan;1979;;1;1;1;1
I Don't Believe You;Another Side Of Bob Dylan;Bob Dylan;1964;;I Don't Believe You;Another Side Of Bob Dylan;Bob Dylan;1964;;1;1;1;1
I Dreamed I Saw St. Augustine;John Wesley Harding;Bob Dylan;1967;;I Dreamed I Saw St. Augustine;John Wesley Harding;Bob Dylan;1967;;1;1;1;1
I Forgot More Than You'll Ever Know;Self Portrait;Bob Dylan;1970;;I Forgot More Than You'll Ever Know;Self Portrait;Bob Dylan;1970;;1;1;1;1
I Pity The Poor Immigrant;John Wesley Harding;Bob Dylan;1967;;I Pity The Poor Immigrant;John Wesley Harding;Bob Dylan;1967;;1;1;1;1
I Shall Be Free - No. 10;Another Side Of Bob Dylan;Bob Dylan;1964;;I Shall Be Free - No. 10;Another Side Of Bob Dylan;Bob Dylan;1964;;1;1;1;1
I Shall Be Released (live);Before The Flood;Bob Dylan;1974;;I Shall Be Released;The Best Of Bob Dylan;Bob Dylan;1997;;1;#NV;1;#NV
I Shall Be Released;The Best Of Bob Dylan;Bob Dylan;1997;;I Shall Be Released (live);Before The Flood;Bob Dylan;1974;;#NV;1;1;1
I Threw It All Away (live);Hard Rain;Bob Dylan;1976;;I Threw It All Away;Nashville Skyline;Bob Dylan;1969;;1;#NV;1;1
I Threw It All Away;Nashville Skyline;Bob Dylan;1969;;I Threw It All Away (live);Hard Rain;Bob Dylan;1976;;#NV;1;1;#NV
I Want You;Blonde On Blonde;Bob Dylan;1966;;I Want You;Blonde On Blonde;Bob Dylan;1966;;1;1;1;1
I Want You;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;I Want You;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;1;1;1;1
I'll Be Your Baby Tonight;John Wesley Harding;Bob Dylan;1967;;Idiot Wind;Blood On The Tracks;Bob Dylan;1975;;1;1;1;#NV
I'll Be Your Baby Tonight;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;Idiot Wind (live);Hard Rain;Bob Dylan;1976;;1;1;1;1
I'll Remember You;Empire Burlesque;Bob Dylan;1985;;If Dogs Run Free;New Morning;Bob Dylan;1970;;1;#NV;1;1
I'm Beggin' You;Free As A Bird;Supertramp;1987;;If Everyone Was Listening;Crime Of The Century;Supertramp;1974;;1;1;1;1
Idiot Wind;Blood On The Tracks;Bob Dylan;1975;;If Everyone Was Listening;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;#NV;#NV;#NV;#NV
Idiot Wind (live);Hard Rain;Bob Dylan;1976;;If Not For You;New Morning;Bob Dylan;1970;;#NV;#NV;1;1
If Dogs Run Free;New Morning;Bob Dylan;1970;;If Not For You;The Best Of Bob Dylan;Bob Dylan;1997;;#NV;#NV;1;#NV
If Everyone Was Listening;Crime Of The Century;Supertramp;1974;;If You See Her, Say Hello;Blood On The Tracks;Bob Dylan;1975;;#NV;1;1;#NV
If Everyone Was Listening;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;I'll Be Your Baby Tonight;John Wesley Harding;Bob Dylan;1967;;#NV;1;1;1
If Not For You;New Morning;Bob Dylan;1970;;I'll Be Your Baby Tonight;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;#NV;#NV;1;#NV
If Not For You;The Best Of Bob Dylan;Bob Dylan;1997;;I'll Remember You;Empire Burlesque;Bob Dylan;1985;;#NV;1;1;1
If You See Her, Say Hello;Blood On The Tracks;Bob Dylan;1975;;I'm Beggin' You;Free As A Bird;Supertramp;1987;;#NV;#NV;#NV;#NV
In My Time Of Dyin';Bob Dylan;Bob Dylan;1962;;In My Time Of Dyin';Bob Dylan;Bob Dylan;1962;;1;1;1;1
In Search Of Little Sadie;Self Portrait;Bob Dylan;1970;;In Search Of Little Sadie;Self Portrait;Bob Dylan;1970;;1;1;1;1
In The Garden;Saved;Bob Dylan;1980;;In The Garden;Saved;Bob Dylan;1980;;1;1;1;1
In The Summertime;Shot Of Love;Bob Dylan;1981;;In The Summertime;Shot Of Love;Bob Dylan;1981;;1;1;1;1
Is Your Love In Vain;Street Legal;Bob Dylan;1978;;Is Your Love In Vain;Street Legal;Bob Dylan;1978;;1;1;1;1
Isis;Desire;Bob Dylan;1975;;Isis;Desire;Bob Dylan;1975;;1;1;1;1
It Ain't Me Babe;Another Side Of Bob Dylan;Bob Dylan;1964;;It Ain't Me Babe;Another Side Of Bob Dylan;Bob Dylan;1964;;1;1;1;1
It Ain't Me Babe (live);Before The Flood;Bob Dylan;1974;;It Ain't Me Babe;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;1;#NV;1;#NV
It Ain't Me Babe;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;It Ain't Me Babe (live);Before The Flood;Bob Dylan;1974;;#NV;1;1;1
It Doesn't Matter;Free As A Bird;Supertramp;1987;;It Doesn't Matter;Free As A Bird;Supertramp;1987;;1;1;1;1
It Hurts Me Too;Self Portrait;Bob Dylan;1970;;It Hurts Me Too;Self Portrait;Bob Dylan;1970;;1;1;1;1
It Takes A Lot To Laugh It Takes A Train To Cry;Highway 61 Revisited;Bob Dylan;1965;;It Takes A Lot To Laugh It Takes A Train To Cry;Highway 61 Revisited;Bob Dylan;1965;;1;1;1;1
It's A Hard World;Some Things Never Change;Supertramp;1997;;It's A Hard World;Some Things Never Change;Supertramp;1997;;1;1;1;1
It's A Long Road;Supertramp;Supertramp;1970;;It's A Long Road;Supertramp;Supertramp;1970;;1;1;1;1
It's All Over Now Baby Blue;Bringing It All Back Home;Bob Dylan;1965;;It's All Over Now Baby Blue;Bringing It All Back Home;Bob Dylan;1965;;1;1;1;1
It's Alright Ma;Bringing It All Back Home;Bob Dylan;1965;;It's Alright;Free As A Bird;Supertramp;1987;;1;#NV;#NV;#NV
It's Alright,Ma (I'm Only Bleeding) (live);Before The Flood;Bob Dylan;1974;;It's Alright Ma;Bringing It All Back Home;Bob Dylan;1965;;1;#NV;1;1
It's Alright;Free As A Bird;Supertramp;1987;;It's Alright,Ma (I'm Only Bleeding) (live);Before The Flood;Bob Dylan;1974;;#NV;1;1;1
It's Raining Again;Breakfast In America;Supertramp;1979;;It's Raining Again;Breakfast In America;Supertramp;1979;;1;1;1;1
It's Raining Again;Famous Last Words;Supertramp;1982;;It's Raining Again;Famous Last Words;Supertramp;1982;;1;1;1;1
It's Raining Again;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;It's Raining Again;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;1
It's Raining Again;The Very Best Of Supertramp;Supertramp;1990;;It's Raining Again;The Very Best Of Supertramp;Supertramp;1990;;1;1;1;1
Jack-A-Roe;World Gone Wrong;Bob Dylan;1993;;Jack-A-Roe;World Gone Wrong;Bob Dylan;1993;;1;1;1;1
Jim Jones;Good As I Been To You;Bob Dylan;1992;;Jim Jones;Good As I Been To You;Bob Dylan;1992;;1;1;1;1
Joey;Desire;Bob Dylan;1975;;Joey;Desire;Bob Dylan;1975;;1;1;1;1
John Brown (live);MTV Unplugged;Bob Dylan;1994;;John Brown (live);MTV Unplugged;Bob Dylan;1994;;1;1;1;1
John Wesley Harding;John Wesley Harding;Bob Dylan;1967;;John Wesley Harding;John Wesley Harding;Bob Dylan;1967;;1;1;1;1
Jokerman;Infidels;Bob Dylan;1983;;Jokerman;Infidels;Bob Dylan;1983;;1;1;1;1
Just A Normal Day;Crisis? What Crisis;Supertramp;1975;;Just A Normal Day;Crisis? What Crisis;Supertramp;1975;;1;1;1;1
Just Another Nervous Wreck;Breakfast In America;Supertramp;1979;;Just Another Nervous Wreck;Breakfast In America;Supertramp;1979;;1;1;1;1
Just Another Nervous Wreck;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;Just Another Nervous Wreck;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;1;1;1
Just Like A Woman (live);Before The Flood;Bob Dylan;1974;;Just Like A Woman;Blonde On Blonde;Bob Dylan;1966;;1;#NV;1;1
Just Like A Woman;Blonde On Blonde;Bob Dylan;1966;;Just Like A Woman;The Best Of Bob Dylan;Bob Dylan;1997;;1;#NV;1;#NV
Just Like A Woman;The Best Of Bob Dylan;Bob Dylan;1997;;Just Like A Woman (live);Before The Flood;Bob Dylan;1974;;#NV;1;1;1
Just Like Tom Thumb's Blues;Highway 61 Revisited;Bob Dylan;1965;;Just Like Tom Thumb's Blues;Highway 61 Revisited;Bob Dylan;1965;;1;1;1;1
Katie's Been Gone;The Basement Tapes;Bob Dylan;1975;;Katie's Been Gone;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Knockin' On Heaven's Door (live);Before The Flood;Bob Dylan;1974;;Knockin' On Heaven's Door;Pat Garrett And Billy The Kid;Bob Dylan;1973;;1;#NV;1;1
Knockin' On Heaven's Door (live);MTV Unplugged;Bob Dylan;1994;;Knockin' On Heaven's Door;The Best Of Bob Dylan;Bob Dylan;1997;;1;#NV;1;#NV
Knockin' On Heaven's Door;Pat Garrett And Billy The Kid;Bob Dylan;1973;;Knockin' On Heaven's Door (live);Before The Flood;Bob Dylan;1974;;#NV;1;1;#NV
Knockin' On Heaven's Door;The Best Of Bob Dylan;Bob Dylan;1997;;Knockin' On Heaven's Door (live);MTV Unplugged;Bob Dylan;1994;;#NV;1;1;1
Know Who You Are;Famous Last Words;Supertramp;1982;;Know Who You Are;Famous Last Words;Supertramp;1982;;1;1;1;1
Lady;Crisis? What Crisis;Supertramp;1975;;Lady;Crisis? What Crisis;Supertramp;1975;;1;1;1;1
Lady;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Lady;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;1
Lady;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;Lady;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;1;1;1
Land Ho;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Land Ho;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;1
Lay Lady Lay (live);Before The Flood;Bob Dylan;1974;;Lay Lady Lay;Nashville Skyline;Bob Dylan;1969;;1;#NV;1;1
Lay Lady Lay (live);Hard Rain;Bob Dylan;1976;;Lay Lady Lay;The Best Of Bob Dylan;Bob Dylan;1997;;1;#NV;1;#NV
Lay Lady Lay;Nashville Skyline;Bob Dylan;1969;;Lay Lady Lay (live);Before The Flood;Bob Dylan;1974;;#NV;1;1;#NV
Lay Lady Lay;The Best Of Bob Dylan;Bob Dylan;1997;;Lay Lady Lay (live);Hard Rain;Bob Dylan;1976;;#NV;1;1;1
Lenny Bruce;Shot Of Love;Bob Dylan;1981;;Lenny Bruce;Shot Of Love;Bob Dylan;1981;;1;1;1;1
Leopard-Skin Pill-Box Hat;Blonde On Blonde;Bob Dylan;1966;;Leopard-Skin Pill-Box Hat;Blonde On Blonde;Bob Dylan;1966;;1;1;1;1
Let It Be Me;Self Portrait;Bob Dylan;1970;;Let It Be Me;Self Portrait;Bob Dylan;1970;;1;1;1;1
Let's Stick Together;Down In The Groove;Bob Dylan;1988;;Let's Stick Together;Down In The Groove;Bob Dylan;1988;;1;1;1;1
License To Kill;Infidels;Bob Dylan;1983;;License To Kill;Infidels;Bob Dylan;1983;;1;1;1;1
License To Kill;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;License To Kill;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;1;1;1;1
Like A Rolling Stone (live);Before The Flood;Bob Dylan;1974;;Like A Rolling Stone;Highway 61 Revisited;Bob Dylan;1965;;1;#NV;1;1
Like A Rolling Stone;Highway 61 Revisited;Bob Dylan;1965;;Like A Rolling Stone;The Best Of Bob Dylan;Bob Dylan;1997;;1;#NV;1;#NV
Like A Rolling Stone (live);MTV Unplugged;Bob Dylan;1994;;Like A Rolling Stone (live);Before The Flood;Bob Dylan;1974;;1;1;1;1
Like A Rolling Stone (live);Self Portrait;Bob Dylan;1970;;Like A Rolling Stone (live);MTV Unplugged;Bob Dylan;1994;;1;1;1;#NV
Like A Rolling Stone;The Best Of Bob Dylan;Bob Dylan;1997;;Like A Rolling Stone (live);Self Portrait;Bob Dylan;1970;;#NV;1;1;1
Lily of the West;Dylan;Bob Dylan;1973;;Lily of the West;Dylan;Bob Dylan;1973;;1;1;1;1
Lily, Rosemary And The Jack Of Hearts;Blood On The Tracks;Bob Dylan;1975;;Lily, Rosemary And The Jack Of Hearts;Blood On The Tracks;Bob Dylan;1975;;1;1;1;1
Listen To Me Please (live);It Was The Best Of Times;Supertramp;1999;;Listen To Me Please;Some Things Never Change;Supertramp;1997;;1;#NV;1;1
Listen To Me Please;Some Things Never Change;Supertramp;1997;;Listen To Me Please (live);It Was The Best Of Times;Supertramp;1999;;#NV;1;1;#NV
Little By Little;Slow Motion;Supertramp;2002;;Little By Little;Slow Motion;Supertramp;2002;;1;1;1;1
Little Maggie;Good As I Been To You;Bob Dylan;1992;;Little Maggie;Good As I Been To You;Bob Dylan;1992;;1;1;1;1
Little Sadie;Self Portrait;Bob Dylan;1970;;Little Sadie;Self Portrait;Bob Dylan;1970;;1;1;1;1
Live To Love You;Some Things Never Change;Supertramp;1997;;Live To Love You;Some Things Never Change;Supertramp;1997;;1;1;1;1
Living The Blues;Self Portrait;Bob Dylan;1970;;Living The Blues;Self Portrait;Bob Dylan;1970;;1;1;1;1
Lo And Behold!;The Basement Tapes;Bob Dylan;1975;;Lo And Behold!;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Lone Pilgrim;World Gone Wrong;Bob Dylan;1993;;Lone Pilgrim;World Gone Wrong;Bob Dylan;1993;;1;1;1;1
Lonesome Day Blues;Love And Theft;Bob Dylan;2001;;Lonesome Day Blues;Love And Theft;Bob Dylan;2001;;1;1;1;1
Long Distance Operator;The Basement Tapes;Bob Dylan;1975;;Long Distance Operator;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Lord Is It Mine;Breakfast In America;Supertramp;1979;;Lord Is It Mine;Breakfast In America;Supertramp;1979;;1;1;1;1
Love Henry;World Gone Wrong;Bob Dylan;1993;;Love Henry;World Gone Wrong;Bob Dylan;1993;;1;1;1;1
Love Minus Zero/No Limit;Bringing It All Back Home;Bob Dylan;1965;;Love Minus Zero/No Limit;Bringing It All Back Home;Bob Dylan;1965;;1;1;1;1
Love Minus Zero/No Limit (live);MTV Unplugged;Bob Dylan;1994;;Love Minus Zero/No Limit (live);MTV Unplugged;Bob Dylan;1994;;1;1;1;1
Love Sick;Time Out Of Mind;Bob Dylan;1997;;Love Sick;Time Out Of Mind;Bob Dylan;1997;;1;1;1;1
Lover Boy;Even In The Quietest Moments;Supertramp;1977;;Lover Boy;Even In The Quietest Moments;Supertramp;1977;;1;1;1;1
Maggie's Farm;Bringing It All Back Home;Bob Dylan;1965;;Maggie's Farm;Bringing It All Back Home;Bob Dylan;1965;;1;1;1;1
Maggie's Farm (live);Hard Rain;Bob Dylan;1976;;Maggie's Farm (live);Hard Rain;Bob Dylan;1976;;1;1;1;1
Main Tittle Theme (Billy);Pat Garrett And Billy The Kid;Bob Dylan;1973;;Main Tittle Theme (Billy);Pat Garrett And Billy The Kid;Bob Dylan;1973;;1;1;1;1
Make You Feel My Love;Time Out Of Mind;Bob Dylan;1997;;Make You Feel My Love;Time Out Of Mind;Bob Dylan;1997;;1;1;1;1
Man Gave Names To All Animals;Slow Train Coming;Bob Dylan;1979;;Man Gave Names To All Animals;Slow Train Coming;Bob Dylan;1979;;1;1;1;1
Man In The Long Black Coat;Oh Mercy;Bob Dylan;1989;;Man In The Long Black Coat;Oh Mercy;Bob Dylan;1989;;1;1;1;1
Man Of Constant Sorrow;Bob Dylan;Bob Dylan;1962;;Man Of Constant Sorrow;Bob Dylan;Bob Dylan;1962;;1;1;1;1
Man Of Peace;Infidels;Bob Dylan;1983;;Man Of Peace;Infidels;Bob Dylan;1983;;1;1;1;1
Mary Ann;Dylan;Bob Dylan;1973;;Mary Ann;Dylan;Bob Dylan;1973;;1;1;1;1
Maybe I'm A Beggar;Supertramp;Supertramp;1970;;Maybe I'm A Beggar;Supertramp;Supertramp;1970;;1;1;1;1
Maybe Someday;Knocked Out Loaded;Bob Dylan;1986;;Maybe Someday;Knocked Out Loaded;Bob Dylan;1986;;1;1;1;1
Meet Me In The Morning;Blood On The Tracks;Bob Dylan;1975;;Meet Me In The Morning;Blood On The Tracks;Bob Dylan;1975;;1;1;1;1
Million Dollar Bash;The Basement Tapes;Bob Dylan;1975;;Million Dollar Bash;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Million Miles;Time Out Of Mind;Bob Dylan;1997;;Million Miles;Time Out Of Mind;Bob Dylan;1997;;1;1;1;1
Minstrel Boy (live);Self Portrait;Bob Dylan;1970;;Minstrel Boy (live);Self Portrait;Bob Dylan;1970;;1;1;1;1
Mississippi;Love And Theft;Bob Dylan;2001;;Mississippi;Love And Theft;Bob Dylan;2001;;1;1;1;1
Moonlight;Love And Theft;Bob Dylan;2001;;Moonlight;Love And Theft;Bob Dylan;2001;;1;1;1;1
Most Likely You Go Your Way And I'll Go Mine (live);Before The Flood;Bob Dylan;1974;;Most Likely You Go Your Way And I'll Go Mine;Blonde On Blonde;Bob Dylan;1966;;1;#NV;1;1
Most Likely You Go Your Way And I'll Go Mine;Blonde On Blonde;Bob Dylan;1966;;Most Likely You Go Your Way And I'll Go Mine (live);Before The Flood;Bob Dylan;1974;;#NV;1;1;#NV
Most Of The Time;Oh Mercy;Bob Dylan;1989;;Most Of The Time;Oh Mercy;Bob Dylan;1989;;1;1;1;1
Motorpsycho Nitemare;Another Side Of Bob Dylan;Bob Dylan;1964;;Motorpsycho Nitemare;Another Side Of Bob Dylan;Bob Dylan;1964;;1;1;1;1
Mozambique;Desire;Bob Dylan;1975;;Mozambique;Desire;Bob Dylan;1975;;1;1;1;1
Mr. Bojangles;Dylan;Bob Dylan;1973;;Mr. Bojangles;Dylan;Bob Dylan;1973;;1;1;1;1
Mr. Tambourine Man;Bringing It All Back Home;Bob Dylan;1965;;Mr. Tambourine Man;Bringing It All Back Home;Bob Dylan;1965;;1;1;1;1
Mr. Tambourine Man;The Best Of Bob Dylan;Bob Dylan;1997;;Mr. Tambourine Man;The Best Of Bob Dylan;Bob Dylan;1997;;1;1;1;1
My Back Pages;Another Side Of Bob Dylan;Bob Dylan;1964;;My Back Pages;Another Side Of Bob Dylan;Bob Dylan;1964;;1;1;1;1
My Kind Of Lady;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;My Kind of Lady;Famous Last Words;Supertramp;1982;;1;1;1;1
My Kind Of Lady;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;My Kind Of Lady;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;#NV
My Kind of Lady;Famous Last Words;Supertramp;1982;;My Kind Of Lady;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;#NV;1;#NV
Nashville Skyline Rag;Nashville Skyline;Bob Dylan;1969;;Nashville Skyline Rag;Nashville Skyline;Bob Dylan;1969;;1;1;1;1
Neighborhood Bully;Infidels;Bob Dylan;1983;;Neighborhood Bully;Infidels;Bob Dylan;1983;;1;1;1;1
Nettie Moore;Modern Times;Bob Dylan;2006;;Nettie Moore;Modern Times;Bob Dylan;2006;;1;1;1;1
Never Gonna Be The Same Again;Empire Burlesque;Bob Dylan;1985;;Never Gonna Be The Same Again;Empire Burlesque;Bob Dylan;1985;;1;1;1;1
Never Say Goodbye;Planet Waves;Bob Dylan;1974;;Never Say Goodbye;Planet Waves;Bob Dylan;1974;;1;1;1;1
New Morning;New Morning;Bob Dylan;1970;;New Morning;New Morning;Bob Dylan;1970;;1;1;1;1
New Pony;Street Legal;Bob Dylan;1978;;New Pony;Street Legal;Bob Dylan;1978;;1;1;1;1
Ninety Miles An Hour;Down In The Groove;Bob Dylan;1988;;Ninety Miles An Hour;Down In The Groove;Bob Dylan;1988;;1;1;1;1
No Inbetween;Brother Where You Bound;Supertramp;1985;;No Inbetween;Brother Where You Bound;Supertramp;1985;;1;1;1;1
No Time To Think;Street Legal;Bob Dylan;1978;;No Time To Think;Street Legal;Bob Dylan;1978;;1;1;1;1
Not Dark Yet;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;Not Dark Yet;The Best Of Bob Dylan Volume 2;Bob Dylan;2000;;1;1;1;1
Not Dark Yet;Time Out Of Mind;Bob Dylan;1997;;Not Dark Yet;Time Out Of Mind;Bob Dylan;1997;;1;1;1;1
Not The Moment;Free As A Bird;Supertramp;1987;;Not The Moment;Free As A Bird;Supertramp;1987;;1;1;1;1
Nothing To Show;Supertramp;Supertramp;1970;;Nothing To Show;Supertramp;Supertramp;1970;;1;1;1;1
Nothing Was Delivered;The Basement Tapes;Bob Dylan;1975;;Nothing Was Delivered;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Obviously Five Believers;Blonde On Blonde;Bob Dylan;1966;;Obviously Five Believers;Blonde On Blonde;Bob Dylan;1966;;1;1;1;1
Odds And Ends;The Basement Tapes;Bob Dylan;1975;;Odds And Ends;The Basement Tapes;Bob Dylan;1975;;1;1;1;1
Oh Darling;Breakfast In America;Supertramp;1979;;Oh Darling;Breakfast In America;Supertramp;1979;;1;1;1;1
Oh Darling;Free As A Bird;Supertramp;1987;;Oh Darling;Free As A Bird;Supertramp;1987;;1;1;1;1
Oh Darling;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Oh Darling;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;1
Oh Darling;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;Oh Darling;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;1;1;1
Oh, Sister;Desire;Bob Dylan;1975;;Oh, Sister;Desire;Bob Dylan;1975;;1;1;1;1
Oh, Sister;The Best Of Bob Dylan;Bob Dylan;1997;;Oh, Sister;The Best Of Bob Dylan;Bob Dylan;1997;;1;1;1;1
Oh,Sister (live);Hard Rain;Bob Dylan;1976;;Oh,Sister (live);Hard Rain;Bob Dylan;1976;;1;1;1;1
On A Night Like This;Planet Waves;Bob Dylan;1974;;On A Night Like This;Planet Waves;Bob Dylan;1974;;1;1;1;1
On The Road Again;Bringing It All Back Home;Bob Dylan;1965;;On The Road Again;Bringing It All Back Home;Bob Dylan;1965;;1;1;1;1
One More Cup Of Coffee;Desire;Bob Dylan;1975;;One More Cup Of Coffee;Desire;Bob Dylan;1975;;1;1;1;1
One More Night;Nashville Skyline;Bob Dylan;1969;;One More Night;Nashville Skyline;Bob Dylan;1969;;1;1;1;1
One More Weekend;New Morning;Bob Dylan;1970;;One More Weekend;New Morning;Bob Dylan;1970;;1;1;1;1
