Titel;Album;Interpret;Jahr
From Now On (live);Paris;Supertramp;1980
Shenandoah;Down In The Groove;Bob Dylan;1988
Know Who You Are;Famous Last Words;Supertramp;1982
Days Of 49;Self Portrait;Bob Dylan;1970
Solid Rock;Saved;Bob Dylan;1980
True Love Tends To Forget;Street Legal;Bob Dylan;1978
Friend In Need;Indelibly Stamped;Supertramp;1971
The Boxer;Self Portrait;Bob Dylan;1970
Rudy (live);Paris;Supertramp;1980
Broken Hearted;Slow Motion;Supertramp;2002
Union Sundown;Infidels;Bob Dylan;1983
When The Night Comes Falling From The Sky;Empire Burlesque;Bob Dylan;1985
I Want You;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
In Search Of Little Sadie;Self Portrait;Bob Dylan;1970
Living The Blues;Self Portrait;Bob Dylan;1970
Hide In Your Shell;Crime Of The Century;Supertramp;1974
Lady;The Very Best Of Supertramp Vol. 2;Supertramp;1992
Mississippi;Love And Theft;Bob Dylan;2001
It's Raining Again;Retrospectacle - The Supertramp Anthology;Supertramp;2005
Jokerman;Infidels;Bob Dylan;1983
If Not For You;New Morning;Bob Dylan;1970
Oh, Sister;The Best Of Bob Dylan;Bob Dylan;1997
The Ballad Of Frankie Lee And Judas Priest;John Wesley Harding;Bob Dylan;1967
I'll Be Your Baby Tonight;The Best Of Bob Dylan Volume 2;Bob Dylan;2000
It Takes A Lot To Laugh It Takes A Train To Cry;Highway 61 Revisited;Bob Dylan;1965
Cantina Theme;Pat Garrett And Billy The Kid;Bob Dylan;1973
Forever Young;Planet Waves;Bob Dylan;1974
Girl From The North Country;Nashville Skyline;Bob Dylan;1969
What Good Am I;Oh Mercy;Bob Dylan;1989
Rainy Day Women Nos. 12 + 35;Blonde On Blonde;Bob Dylan;1966
Too Much Of Nothing;The Basement Tapes;Bob Dylan;1975
Minstrel Boy (live);Self Portrait;Bob Dylan;1970
Gospel Plow;Bob Dylan;Bob Dylan;1962
Knockin' On Heaven's Door (live);MTV Unplugged;Bob Dylan;1994
Nothing Was Delivered;The Basement Tapes;Bob Dylan;1975
Highway 61 Revisited (live);Before The Flood;Bob Dylan;1974
Workingman's Blues #2;Modern Times;Bob Dylan;2006
She's No Good;Bob Dylan;Bob Dylan;1962
The Groom's Still Waiting At The Altar;Shot Of Love;Bob Dylan;1981
Take Me As I Am;Self Portrait;Bob Dylan;1970
Ain't Nobody But Me;Crisis? What Crisis;Supertramp;1975
Just Like A Woman;Blonde On Blonde;Bob Dylan;1966
Going, Going, Gone;Planet Waves;Bob Dylan;1974
New Pony;Street Legal;Bob Dylan;1978
The Wicked Messenger;John Wesley Harding;Bob Dylan;1967
Father Of Night;New Morning;Bob Dylan;1970
A Satisfied Mind;Saved;Bob Dylan;1980
Blowin' In The Wind;The Best Of Bob Dylan;Bob Dylan;1997
All Along The Watchtower;John Wesley Harding;Bob Dylan;1967
